Mina,Regiao,Altitude,Ordem,Tipo,Massa,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,independente_,UML_,ORDEM_
Mina_1,Regiao_6,100,3,1,39806,16.374087,18.698974,64.926939,40.772514,39.380325,0.021601,0.998445,0.034969,0.88566,53.411216,22.026293,0.023555,0.516513,0.026761,0.7437819999999999,61.51799499999999,10.068291,0.016329,0.587281,0.030819,0.649313,31.61036677,52.19875125,0.022605886000000002,1.238419625,0.038250938,0.9894391990000001,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#3,0
Mina_1,Regiao_6,100,3,2,1530,12.2488,33.9067,53.8444,57.096000000000004,8.6396,0.0679,3.5087,1.2568,3.5208,60.7786,4.7025,0.0535,2.4819999999999998,1.046,3.3693,62.6726,5.4932,0.0523,1.0716,0.3971,2.3854,52.7465976,11.51655997,0.081037891,5.276894121000001,1.8461228180000002,4.270338092,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#3,1
Mina_1,Regiao_6,100,3,4,40033,17.0101,19.6328,63.357,42.0741,37.3543,0.0232,1.0449,0.04,0.9794,54.2948,20.5868,0.0244,0.5457,0.0329,0.8064,60.9906,10.804,0.0182,0.6118,0.0335,0.703,32.93136267,50.08333325,0.024467798,1.313109093,0.043853419000000005,1.1114063220000001,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#3,2
Mina_1,Regiao_6,100,5,1,27900,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#5,3
Mina_1,Regiao_6,100,6,1,29180,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#6,4
Mina_1,Regiao_6,100,6,3,14030,42.921627,20.21438,36.864014000000005,50.960046999999996,18.35032,0.033413,1.480667,3.1963,2.052907,49.983962,19.818529,0.020794,1.24437,3.743983,1.562233,54.378181999999995,12.948109,0.033444999999999996,1.540367,3.278831,2.262775,50.22208201,19.60312299,0.048089599999999996,1.723010245,2.513245184,2.509155965,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#6,5
Mina_1,Regiao_6,100,7,1,29032,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#7,6
Mina_1,Regiao_6,100,8,1,24111,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_6,Mina_1#Regiao_6#100#8,7
Mina_1,Regiao_6,90,3,1,32496,14.038214000000002,10.3192,26.866372,20.720364,20.418649,0.01737,0.460484,0.029929,0.5324300000000001,51.182373999999996,23.916651,0.049009,0.782686,0.046962000000000004,1.631308,56.961789,16.874473000000002,0.023669,0.571421,0.052908000000000004,0.562283,28.50132858,57.02247948,0.029987065,1.085533783,0.066536999,0.9134042529999999,100,Mina_1#Regiao_6,Mina_1#Regiao_6#90#3,8
Mina_1,Regiao_6,90,3,2,37595,45.067244,22.325833,32.606922999999995,66.683448,1.283339,0.035155,0.9794200000000001,0.601392,1.238305,67.87133,0.607002,0.02251,0.520494,0.514441,0.847784,67.00576600000001,1.128396,0.029024,0.8939389999999999,0.528688,1.10704,64.82093356,2.3242276509999997,0.056810698,1.672289176,0.771310822,1.86794278,100,Mina_1#Regiao_6,Mina_1#Regiao_6#90#3,9
